Grup_Vehicle,Hora,total_multes
Bicicletes,00,2991
Equips emergencia,00,31
Habitatge,00,15
Motocicleta,00,8773
Taxis,00,247
Transport Comercial,00,2549
Transport públic,00,80
Vehicle Turisme,00,50599
Vehicles especials,00,16
Vianants,00,1080
Bicicletes,01,2250
Equips emergencia,01,33
Habitatge,01,12
Motocicleta,01,7042
Patinet,01,1
Taxis,01,239
Transport Comercial,01,2024
Transport públic,01,77
Vehicle Turisme,01,40184
Vehicles especials,01,19
Vianants,01,518
Bicicletes,02,1202
Equips emergencia,02,21
Habitatge,02,7
Motocicleta,02,4297
Patinet,02,1
Taxis,02,151
Transport Comercial,02,1381
Transport públic,02,71
Vehicle Turisme,02,24239
Vehicles especials,02,9
Vianants,02,453
Bicicletes,03,972
Equips emergencia,03,34
Habitatge,03,4
Motocicleta,03,3753
Taxis,03,232
Transport Comercial,03,1231
Transport públic,03,62
Vehicle Turisme,03,20440
Vehicles especials,03,6
Vianants,03,388
Bicicletes,04,1130
Equips emergencia,04,38
Habitatge,04,7
Motocicleta,04,4725
Taxis,04,275
Transport Comercial,04,1638
Transport públic,04,81
Vehicle Turisme,04,23964
Vehicles especials,04,9
Vianants,04,608
Bicicletes,05,637
Equips emergencia,05,39
Habitatge,05,6
Motocicleta,05,3649
Patinet,05,1
Taxis,05,157
Transport Comercial,05,2226
Transport públic,05,69
Vehicle Turisme,05,25556
Vehicles especials,05,7
Vianants,05,447
Bicicletes,06,131
Equips emergencia,06,28
Habitatge,06,1
Motocicleta,06,3057
Taxis,06,48
Transport Comercial,06,2467
Transport públic,06,134
Vehicle Turisme,06,19426
Vehicles especials,06,1
Vianants,06,474
Bicicletes,07,793
Equips emergencia,07,32
Habitatge,07,70
Motocicleta,07,11057
Taxis,07,134
Transport Comercial,07,5998
Transport públic,07,217
Vehicle Turisme,07,47418
Vehicles especials,07,67
Vianants,07,2706
Bicicletes,08,2376
Equips emergencia,08,41
Habitatge,08,70
Motocicleta,08,25595
Taxis,08,390
Transport Comercial,08,17822
Transport públic,08,514
Vehicle Turisme,08,81126
Vehicles especials,08,111
Vianants,08,4950
Bicicletes,09,2307
Equips emergencia,09,64
Habitatge,09,91
Motocicleta,09,21303
Patinet,09,1
Taxis,09,833
Transport Comercial,09,46842
Transport públic,09,850
Vehicle Turisme,09,139325
Vehicles especials,09,144
Vianants,09,6758
Bicicletes,10,1420
Equips emergencia,10,65
Habitatge,10,94
Motocicleta,10,17011
Taxis,10,984
Transport Comercial,10,51965
Transport públic,10,1001
Vehicle Turisme,10,151421
Vehicles especials,10,144
Vianants,10,6782
Bicicletes,11,2011
Equips emergencia,11,81
Habitatge,11,104
Motocicleta,11,16115
Patinet,11,1
Taxis,11,616
Transport Comercial,11,29716
Transport públic,11,1264
Vehicle Turisme,11,110258
Vehicles especials,11,147
Vianants,11,6634
Bicicletes,12,2999
Equips emergencia,12,84
Habitatge,12,129
Motocicleta,12,20061
Patinet,12,6
Taxis,12,1028
Transport Comercial,12,53740
Transport públic,12,1187
Vehicle Turisme,12,160767
Vehicles especials,12,185
Vianants,12,7265
Bicicletes,13,2486
Equips emergencia,13,78
Habitatge,13,97
Motocicleta,13,15514
Patinet,13,7
Taxis,13,677
Transport Comercial,13,32658
Transport públic,13,1013
Vehicle Turisme,13,120190
Vehicles especials,13,124
Vianants,13,5053
Bicicletes,14,1249
Equips emergencia,14,79
Habitatge,14,87
Motocicleta,14,12684
Patinet,14,1
Taxis,14,590
Transport Comercial,14,28890
Transport públic,14,841
Vehicle Turisme,14,107813
Vehicles especials,14,63
Vianants,14,3737
Bicicletes,15,2525
Equips emergencia,15,74
Habitatge,15,108
Motocicleta,15,18812
Patinet,15,2
Taxis,15,890
Transport Comercial,15,25861
Transport públic,15,616
Vehicle Turisme,15,131766
Vehicles especials,15,98
Vianants,15,3944
Bicicletes,16,4096
Equips emergencia,16,77
Habitatge,16,136
Motocicleta,16,24683
Patinet,16,1
Taxis,16,815
Transport Comercial,16,40503
Transport públic,16,746
Vehicle Turisme,16,156993
Vehicles especials,16,121
Vianants,16,5006
Bicicletes,17,4028
Equips emergencia,17,78
Habitatge,17,162
Motocicleta,17,21455
Patinet,17,10
Taxis,17,700
Transport Comercial,17,29754
Transport públic,17,595
Vehicle Turisme,17,137830
Vehicles especials,17,88
Vianants,17,4137
Bicicletes,18,3188
Equips emergencia,18,81
Habitatge,18,167
Motocicleta,18,16335
Patinet,18,2
Taxis,18,460
Transport Comercial,18,10507
Transport públic,18,519
Vehicle Turisme,18,91405
Vehicles especials,18,57
Vianants,18,2475
Bicicletes,19,2710
Equips emergencia,19,80
Habitatge,19,194
Motocicleta,19,17139
Patinet,19,1
Taxis,19,495
Transport Comercial,19,13510
Transport públic,19,355
Vehicle Turisme,19,112787
Vehicles especials,19,61
Vianants,19,2526
Bicicletes,20,2731
Equips emergencia,20,75
Habitatge,20,23
Motocicleta,20,14155
Patinet,20,1
Taxis,20,279
Transport Comercial,20,4226
Transport públic,20,165
Vehicle Turisme,20,57650
Vehicles especials,20,34
Vianants,20,787
Bicicletes,21,1376
Equips emergencia,21,46
Habitatge,21,19
Motocicleta,21,8734
Patinet,21,1
Taxis,21,118
Transport Comercial,21,3025
Transport públic,21,135
Vehicle Turisme,21,44005
Vehicles especials,21,12
Vianants,21,546
Bicicletes,22,503
Equips emergencia,22,62
Habitatge,22,14
Motocicleta,22,5298
Taxis,22,96
Transport Comercial,22,2444
Transport públic,22,121
Vehicle Turisme,22,40212
Vehicles especials,22,11
Vianants,22,247
Bicicletes,23,2103
Equips emergencia,23,39
Habitatge,23,13
Motocicleta,23,7477
Taxis,23,167
Transport Comercial,23,2707
Transport públic,23,84
Vehicle Turisme,23,48519
Vehicles especials,23,25
Vianants,23,1095
